contract,seed,condition,model,coverage,failed_simulations,n,mae,rmse,r2,bias,zero_grain_outputs
SPATIAL,101,sens_no3_25,APSIM,1.0,0,31,1.1101499314921015,1.380699863666077,-0.47793409270553044,-0.7724542665509024,3.0
SPATIAL,101,sens_sowing_+14,APSIM,1.0,0,31,1.1910106211169895,1.4265781104964614,-0.5777842458670859,-0.7150401385028254,3.0
SPATIAL,101,sens_sowing_-14,APSIM,1.0,0,31,1.040573960579896,1.2766671918109034,-0.26360663986238086,-0.44326303067329803,2.0
SPATIAL,101,sens_water_0.25,APSIM,1.0,0,31,1.4247146551364127,1.6952418089402066,-1.2280237337957178,-1.2151014686957122,6.0
SPATIAL,101,sens_water_0.75,APSIM,1.0,0,31,1.0434350312427778,1.265365425279691,-0.2413333712928425,0.27033473836875443,1.0
SPATIAL,202,available_central,APSIM,1.0,0,31,1.1425011720336904,1.388255190656459,-0.4941531525026004,-0.1407890081074019,4.0
SPATIAL,202,constrained_central,APSIM,1.0,0,31,1.0567838140125163,1.3010564484643419,-0.31234730168161096,-0.5763906223622425,3.0
SPATIAL,202,data_driven,local_scratch,1.0,0,31,1.204211076404923,1.5939518073461816,-0.9697308029675433,-0.17186048733438067,
SPATIAL,202,data_driven,supervised_transfer,1.0,0,31,1.1654614190440025,1.4148578489912502,-0.5519657059968153,0.6563066287809802,
SPATIAL,202,data_driven,validation_selected_weather_transfer,1.0,0,31,0.9615160806717411,1.0707498343049515,0.11114169359728687,-0.12048858544134324,
SPATIAL,202,sens_cultivar_janz,APSIM,1.0,0,31,1.051300636815014,1.302571649976031,-0.31540578311400447,-0.2535242641886621,3.0
SPATIAL,202,sens_cultivar_mace,APSIM,1.0,0,31,1.068724702914198,1.3122306849540386,-0.3349865233698588,-0.11663048118858305,3.0
SPATIAL,202,sens_fertiliser_0,APSIM,1.0,0,31,1.3725506620091745,1.622284260388018,-1.040376969234329,-1.2337440130933393,3.0
SPATIAL,202,sens_fertiliser_100,APSIM,1.0,0,31,1.0783107731829265,1.3340613355058974,-0.3797744490240058,-0.17221840445329506,3.0
SPATIAL,202,sens_no3_100,APSIM,1.0,0,31,1.0650051512038625,1.2969022312257812,-0.3039801441346177,-0.2812205925222997,3.0
SPATIAL,202,sens_no3_25,APSIM,1.0,0,31,1.1101499314921015,1.380699863666077,-0.47793409270553044,-0.7724542665509024,3.0
SPATIAL,202,sens_sowing_+14,APSIM,1.0,0,31,1.1910106211169895,1.4265781104964614,-0.5777842458670859,-0.7150401385028254,3.0
SPATIAL,202,sens_sowing_-14,APSIM,1.0,0,31,1.040573960579896,1.2766671918109034,-0.26360663986238086,-0.44326303067329803,2.0
SPATIAL,202,sens_water_0.25,APSIM,1.0,0,31,1.4247146551364127,1.6952418089402066,-1.2280237337957178,-1.2151014686957122,6.0
SPATIAL,202,sens_water_0.75,APSIM,1.0,0,31,1.0434350312427778,1.265365425279691,-0.2413333712928425,0.27033473836875443,1.0
SPATIAL,303,available_central,APSIM,1.0,0,31,1.1425011720336904,1.388255190656459,-0.4941531525026004,-0.1407890081074019,4.0
SPATIAL,303,constrained_central,APSIM,1.0,0,31,1.0567838140125163,1.3010564484643419,-0.31234730168161096,-0.5763906223622425,3.0
SPATIAL,303,data_driven,local_scratch,1.0,0,31,1.204211076404923,1.5939518073461816,-0.9697308029675433,-0.17186048733438067,
SPATIAL,303,data_driven,supervised_transfer,1.0,0,31,0.9179659001750332,1.1257599449252897,0.01746486854209328,0.31048034520303047,
SPATIAL,303,data_driven,validation_selected_weather_transfer,1.0,0,31,0.8890487354340092,1.0528864742903836,0.14055201675813933,0.04060456112892394,
SPATIAL,303,sens_cultivar_janz,APSIM,1.0,0,31,1.051300636815014,1.302571649976031,-0.31540578311400447,-0.2535242641886621,3.0
SPATIAL,303,sens_cultivar_mace,APSIM,1.0,0,31,1.068724702914198,1.3122306849540386,-0.3349865233698588,-0.11663048118858305,3.0
SPATIAL,303,sens_fertiliser_0,APSIM,1.0,0,31,1.3725506620091745,1.622284260388018,-1.040376969234329,-1.2337440130933393,3.0
SPATIAL,303,sens_fertiliser_100,APSIM,1.0,0,31,1.0783107731829265,1.3340613355058974,-0.3797744490240058,-0.17221840445329506,3.0
SPATIAL,303,sens_no3_100,APSIM,1.0,0,31,1.0650051512038625,1.2969022312257812,-0.3039801441346177,-0.2812205925222997,3.0
SPATIAL,303,sens_no3_25,APSIM,1.0,0,31,1.1101499314921015,1.380699863666077,-0.47793409270553044,-0.7724542665509024,3.0
SPATIAL,303,sens_sowing_+14,APSIM,1.0,0,31,1.1910106211169895,1.4265781104964614,-0.5777842458670859,-0.7150401385028254,3.0
SPATIAL,303,sens_sowing_-14,APSIM,1.0,0,31,1.040573960579896,1.2766671918109034,-0.26360663986238086,-0.44326303067329803,2.0
SPATIAL,303,sens_water_0.25,APSIM,1.0,0,31,1.4247146551364127,1.6952418089402066,-1.2280237337957178,-1.2151014686957122,6.0
SPATIAL,303,sens_water_0.75,APSIM,1.0,0,31,1.0434350312427778,1.265365425279691,-0.2413333712928425,0.27033473836875443,1.0
