contract,method,seed,n,mae,rmse,r2,scratch_mae,supervised_mae,delta_mae_vs_scratch,delta_mae_vs_supervised
SPATIAL_complete,combined_kd,101,31,1.1184264109826856,1.2757115336510922,-0.2617155847241459,1.204211076404923,0.9893673943704174,-0.0857846654222374,0.12905901661226815
SPATIAL_complete,combined_kd,202,31,0.9615161114354286,1.0707498498250734,0.1111416678299435,1.204211076404923,1.1654613613620883,-0.2426949649694944,-0.20394524992665974
SPATIAL_complete,combined_kd,303,31,0.8754309717916674,1.1164201247681358,0.03370036245514285,1.204211076404923,0.9179658694113454,-0.3287801046132556,-0.04253489761967799
SPATIAL_complete,local_scratch,101,31,1.204211076404923,1.5939518073461816,-0.9697308029675432,1.204211076404923,0.9893673943704174,0.0,0.21484368203450555
SPATIAL_complete,local_scratch,202,31,1.204211076404923,1.5939518073461816,-0.9697308029675432,1.204211076404923,1.1654613613620883,0.0,0.03874971504283464
SPATIAL_complete,local_scratch,303,31,1.204211076404923,1.5939518073461816,-0.9697308029675432,1.204211076404923,0.9179658694113454,0.0,0.2862452069935776
SPATIAL_complete,missing_aware,101,31,0.8936498574902934,1.083971324446886,0.08905513837884438,1.204211076404923,0.9893673943704174,-0.3105612189146296,-0.09571753688012408
SPATIAL_complete,missing_aware,202,31,1.2808052565051664,1.5082588531949785,-0.7636332172860341,1.204211076404923,1.1654613613620883,0.07659418010024344,0.11534389514307808
SPATIAL_complete,missing_aware,303,31,1.1074805254167126,1.384429751366355,-0.4859300000583624,1.204211076404923,0.9179658694113454,-0.09673055098821037,0.1895146560053672
SPATIAL_complete,prediction_kd,101,31,0.832896717286879,1.064809553280642,0.12097671134382293,1.204211076404923,0.9893673943704174,-0.371314359118044,-0.15647067708353846
SPATIAL_complete,prediction_kd,202,31,1.1404101992883988,1.4465970907383907,-0.6223766167815479,1.204211076404923,1.1654613613620883,-0.06380087711652416,-0.025051162073689515
SPATIAL_complete,prediction_kd,303,31,0.8890487373567396,1.0528864541803764,0.1405520495888487,1.204211076404923,0.9179658694113454,-0.31516233904818336,-0.028917132054605776
SPATIAL_complete,representation_kd,101,31,0.9733673183379633,1.0698700138547366,0.11260181882217546,1.204211076404923,0.9893673943704174,-0.23084375806695967,-0.016000076032454125
SPATIAL_complete,representation_kd,202,31,1.1419254088555613,1.4416684771992063,-0.6113404465151231,1.204211076404923,1.1654613613620883,-0.06228566754936171,-0.02353595250652707
SPATIAL_complete,representation_kd,303,31,0.9253772922638923,1.1931690325195514,-0.10372390768492368,1.204211076404923,0.9179658694113454,-0.27883378414103066,0.007411422852546923
SPATIAL_complete,supervised,101,31,0.9893673943704174,1.1010758850995468,0.06007975095173812,1.204211076404923,0.9893673943704174,-0.21484368203450555,0.0
SPATIAL_complete,supervised,202,31,1.1654613613620883,1.4148578040882176,-0.5519656074880277,1.204211076404923,1.1654613613620883,-0.03874971504283464,0.0
SPATIAL_complete,supervised,303,31,0.9179658694113454,1.125759908332498,0.01746493241663949,1.204211076404923,0.9179658694113454,-0.2862452069935776,0.0
