contract,method,seed,group,absolute_attribution,attribution_share
SPATIAL_complete,combined_kd,101,radiation,0.21181213723555686,0.3576720661339366
SPATIAL_complete,combined_kd,101,temperature,0.09311311133205886,0.1572334775002026
SPATIAL_complete,combined_kd,101,water_balance,0.18108298405704476,0.3057819343815641
SPATIAL_complete,combined_kd,202,observation_support,0.08649405290282539,0.11236065135180456
SPATIAL_complete,combined_kd,202,radiation,0.31538100597719027,0.409697708296739
SPATIAL_complete,combined_kd,202,temperature,0.1505244070393664,0.1955396914778506
SPATIAL_complete,combined_kd,202,water_balance,0.2173900632638364,0.28240194887360587
SPATIAL_complete,combined_kd,303,observation_support,0.1485461990364016,0.14518753897588013
SPATIAL_complete,combined_kd,303,radiation,0.45103891543112695,0.4408408329434814
SPATIAL_complete,combined_kd,303,temperature,0.16465771400685145,0.1609347692847448
SPATIAL_complete,combined_kd,303,water_balance,0.25889042444947746,0.25303685879589366
SPATIAL_complete,missing_aware,101,observation_support,0.0743207592236739,0.12348537904578659
SPATIAL_complete,missing_aware,101,radiation,0.15973505488927323,0.2654028834734819
SPATIAL_complete,missing_aware,101,temperature,0.17416924989271546,0.2893855776741232
SPATIAL_complete,missing_aware,101,water_balance,0.19363371310605396,0.3217261598066083
SPATIAL_complete,missing_aware,202,observation_support,0.1397679607754433,0.0774620785629508
SPATIAL_complete,missing_aware,202,radiation,0.8200925431259337,0.45451098128686795
SPATIAL_complete,missing_aware,202,temperature,0.42415018808171756,0.2350721510809147
SPATIAL_complete,missing_aware,202,water_balance,0.42032974618186636,0.23295478906926648
SPATIAL_complete,missing_aware,303,observation_support,0.1705095148995839,0.09390029744042663
SPATIAL_complete,missing_aware,303,radiation,1.0216131589165138,0.5626066061346151
SPATIAL_complete,missing_aware,303,temperature,0.40172813147787123,0.22123334910766895
SPATIAL_complete,missing_aware,303,water_balance,0.22200622122674696,0.12225974731728927
SPATIAL_complete,prediction_kd,101,observation_support,0.11736335836210716,0.10307336438390437
SPATIAL_complete,prediction_kd,101,radiation,0.45112230194612374,0.39619429828118713
SPATIAL_complete,prediction_kd,101,temperature,0.25130888592121337,0.22070987685568483
SPATIAL_complete,prediction_kd,101,water_balance,0.31884451017099164,0.28002246047922374
SPATIAL_complete,prediction_kd,202,observation_support,0.2063299037305818,0.09828840032967574
SPATIAL_complete,prediction_kd,202,radiation,1.0038539126793282,0.47820114029992117
SPATIAL_complete,prediction_kd,202,temperature,0.3065982341067865,0.14605275061635634
SPATIAL_complete,prediction_kd,202,water_balance,0.5824473909892878,0.27745770875404685
SPATIAL_complete,prediction_kd,303,observation_support,0.08290741269186297,0.10321835467301772
SPATIAL_complete,prediction_kd,303,radiation,0.31673553736219484,0.394330494361315
SPATIAL_complete,prediction_kd,303,temperature,0.31325225939132995,0.38999387102031513
SPATIAL_complete,prediction_kd,303,water_balance,0.09032833499593595,0.11245727994535216
SPATIAL_complete,representation_kd,101,observation_support,0.06663031484531137,0.10711491115827784
SPATIAL_complete,representation_kd,101,radiation,0.19619827885781563,0.31540840318782876
SPATIAL_complete,representation_kd,101,temperature,0.13897855109685367,0.22342195422918973
SPATIAL_complete,representation_kd,101,water_balance,0.22023804129792315,0.3540547314247037
SPATIAL_complete,representation_kd,202,observation_support,0.15305082663713443,0.10545402749581448
SPATIAL_complete,representation_kd,202,radiation,0.7088678961980247,0.48841928043810706
SPATIAL_complete,representation_kd,202,temperature,0.17320760750331943,0.11934231395851594
SPATIAL_complete,representation_kd,202,water_balance,0.416224843927569,0.28678437810756247
SPATIAL_complete,representation_kd,303,observation_support,0.2500049339116661,0.14366310002751476
SPATIAL_complete,representation_kd,303,radiation,0.43217295828846186,0.24834432650724994
SPATIAL_complete,representation_kd,303,temperature,0.5759328969889471,0.330954689952215
SPATIAL_complete,representation_kd,303,water_balance,0.4821059669841141,0.27703788351302033
SPATIAL_complete,supervised,101,observation_support,0.0684338035237204,0.1507350229600436
SPATIAL_complete,supervised,101,radiation,0.17033069043029694,0.37517716699630077
SPATIAL_complete,supervised,101,temperature,0.07477605004133953,0.16470470789974168
SPATIAL_complete,supervised,101,water_balance,0.1404601399854366,0.3093831021439139
SPATIAL_complete,supervised,202,observation_support,0.1906335862523686,0.10546711861639022
SPATIAL_complete,supervised,202,radiation,0.9977619613993973,0.552007026686909
SPATIAL_complete,supervised,202,temperature,0.2394110421263312,0.13245301247485525
SPATIAL_complete,supervised,202,water_balance,0.37971018657140854,0.21007284222184552
SPATIAL_complete,supervised,303,observation_support,0.07294929924831593,0.06361814647654038
SPATIAL_complete,supervised,303,radiation,0.7320911707656999,0.638447302659037
SPATIAL_complete,supervised,303,temperature,0.13933287366413538,0.12151040869617251
SPATIAL_complete,supervised,303,water_balance,0.20230104544785832,0.17642414216824998
