contract,method,seed,perturbation_group,perm_rep,mean_abs_pred_change,mean_delta_AE
GROUP_complete,combined_kd,101,all_physical,30,0.6568254054860866,0.42895874912180804
GROUP_complete,combined_kd,101,all_physical,31,0.9058187540541304,0.6646492937574996
GROUP_complete,combined_kd,101,all_physical,32,0.8482903774748457,0.516417028427124
GROUP_complete,combined_kd,101,all_physical,33,0.7796537242037185,0.5003236343099716
GROUP_complete,combined_kd,101,all_physical,34,0.7730938525910073,0.37738724992630335
GROUP_complete,combined_kd,101,all_physical,35,0.9055888475255763,0.5899509350188236
GROUP_complete,combined_kd,101,all_physical,36,0.896739404252235,0.6127088634612713
GROUP_complete,combined_kd,101,all_physical,37,0.6903795536528242,0.37282849851567695
GROUP_complete,combined_kd,101,all_physical,38,0.7493424085860557,0.45995089305715353
GROUP_complete,combined_kd,101,all_physical,39,0.6787006652101557,0.39889774330626143
GROUP_complete,combined_kd,101,all_physical,40,0.924747330077151,0.6708028393603386
GROUP_complete,combined_kd,101,all_physical,41,0.7707581291807458,0.38954009269146206
GROUP_complete,combined_kd,101,all_physical,42,0.681680549966528,0.4176711584659333
GROUP_complete,combined_kd,101,all_physical,43,0.681940976609575,0.42350686868708187
GROUP_complete,combined_kd,101,all_physical,44,0.6118608814604739,0.40544987023130374
GROUP_complete,combined_kd,101,all_physical,45,0.8339486248949741,0.5323166409959185
GROUP_complete,combined_kd,101,all_physical,46,0.8088669548643396,0.43423141522103165
GROUP_complete,combined_kd,101,all_physical,47,0.78244563873778,0.44894208899964677
GROUP_complete,combined_kd,101,all_physical,48,0.7574904066451053,0.4606954171201016
GROUP_complete,combined_kd,101,all_physical,49,0.7738283568240226,0.44306929042491505
GROUP_complete,combined_kd,101,all_physical,50,0.6737391517517415,0.4436853474759041
GROUP_complete,combined_kd,101,all_physical,51,0.7368949753172854,0.4645033828451279
GROUP_complete,combined_kd,101,all_physical,52,0.7858232335841402,0.5699770142169709
GROUP_complete,combined_kd,101,all_physical,53,0.9434099603206554,0.6393621880957421
GROUP_complete,combined_kd,101,all_physical,54,0.6749569659537458,0.40465329714024323
GROUP_complete,combined_kd,101,all_physical,55,0.6541756213979518,0.44050421954215846
GROUP_complete,combined_kd,101,all_physical,56,0.714952529744899,0.44597520852596206
GROUP_complete,combined_kd,101,all_physical,57,0.7961469229231489,0.48759773836744597
GROUP_complete,combined_kd,101,all_physical,58,0.7343710939934913,0.4404987946774097
GROUP_complete,combined_kd,101,all_physical,59,0.7283704914945237,0.4516822700297579
