contract,route,feature_name,mean_delta,median_delta,mean_abs_delta,std_delta,n
GROUP_complete,representation_kd,weather_prec_sum,-0.003539154256712522,-0.01535259559750557,0.06033528082393455,0.08663430436139699,302
GROUP_complete,representation_kd,weather_rad_sum,0.026201328811611954,-0.01558492798358202,0.2464864987460588,0.3213703353473834,302
GROUP_complete,representation_kd,weather_tmax_mean,-0.06549353282651957,0.003288794308900833,0.19051168030682977,0.3389417283146969,302
GROUP_complete,representation_kd,weather_tmin_mean,0.09950275795953657,0.0647212415933609,0.16630936156501933,0.19717022957232855,302
GROUP_complete,representation_kd,weather_vpd_mean,-0.051281697258649284,-0.03140579257160425,0.12762048772678075,0.17671870929681643,302
SPATIAL_complete,combined_kd,weather_coverage,0.0,0.0,0.0,0.0,93
SPATIAL_complete,combined_kd,weather_cwb_sum,0.05514260891184051,0.03645236324518919,0.15249513272166013,0.2127445785968194,93
SPATIAL_complete,combined_kd,weather_et0_sum,0.06789917751060177,0.04390309378504753,0.3256132473695963,0.39949355337555104,93
SPATIAL_complete,combined_kd,weather_expected_days,0.01029001986507767,0.03587831184267998,0.14162965809365594,0.17698724291797277,93
SPATIAL_complete,combined_kd,weather_observed_days,-0.024601985284838306,-0.10948912985622883,0.19298892648970728,0.29176194943802186,93
SPATIAL_complete,combined_kd,weather_prec_sum,-0.006137415025663632,-0.010024258866906166,0.06516030800819236,0.08853558504679371,93
SPATIAL_complete,combined_kd,weather_rad_sum,-0.27846807038777016,-0.048893251456320286,0.42311724910377374,0.5096365093966796,93
SPATIAL_complete,combined_kd,weather_tmax_mean,-0.06163953727997479,-0.09945917874574661,0.14265024445335112,0.1527119845349676,93
SPATIAL_complete,combined_kd,weather_tmin_mean,-0.0477625190966352,-0.06456458289176226,0.2673860897450277,0.35386541929568255,93
SPATIAL_complete,combined_kd,weather_vpd_mean,-0.0829319568408493,-0.07147787045687437,0.27268412606715553,0.31500903441423994,93
SPATIAL_complete,missing_aware,weather_coverage,0.0,0.0,0.0,0.0,93
SPATIAL_complete,missing_aware,weather_cwb_sum,-0.05880070336523556,0.007359777577221394,0.17039956579044943,0.2509527218344544,93
SPATIAL_complete,missing_aware,weather_et0_sum,0.0381913723333949,0.10065473057329655,0.3891904505660697,0.5251412221936057,93
SPATIAL_complete,missing_aware,weather_expected_days,0.009802591936883105,0.060105519369244576,0.17867527035395464,0.2789257047964511,93
SPATIAL_complete,missing_aware,weather_observed_days,0.09484331365624663,0.08238761499524117,0.19109142484313618,0.26466078907526097,93
SPATIAL_complete,missing_aware,weather_prec_sum,-0.052088034179021594,-0.017197197303175926,0.10561304442804828,0.14991026662984375,93
SPATIAL_complete,missing_aware,weather_rad_sum,0.04075298156283836,0.02362881600856781,0.25351954331266024,0.30375029842317,93
SPATIAL_complete,missing_aware,weather_tmax_mean,-0.049924305859222126,0.07319897972047329,0.2809321402524528,0.3622938308011372,93
SPATIAL_complete,missing_aware,weather_tmin_mean,0.05728940877021961,0.13276842795312405,0.4488831751013515,0.5958622684578312,93
