contract,method,seed,perturbation_group,n_error_degraded,n_error_improved,n_unchanged,mean_delta_AE,median_delta_AE
SPATIAL_complete,combined_kd,303,radiation,17,14,0,0.08503720571148779,0.13524103164672852
SPATIAL_complete,combined_kd,303,temperature,26,5,0,0.5751142522135089,0.47635507583618164
SPATIAL_complete,combined_kd,303,water_balance,17,14,0,0.20651574965446223,0.3471055183410643
SPATIAL_complete,missing_aware,101,all_physical,20,11,0,0.19866561394353066,0.12145066261291504
SPATIAL_complete,missing_aware,101,all_support,16,15,0,0.023490405482630573,0.052440643310546875
SPATIAL_complete,missing_aware,101,observation_support,16,15,0,0.023490405482630573,0.052440643310546875
SPATIAL_complete,missing_aware,101,radiation,17,14,0,0.09315929652798559,0.16937661170959473
SPATIAL_complete,missing_aware,101,temperature,20,11,0,0.6976707788898099,0.07974576950073242
SPATIAL_complete,missing_aware,101,water_balance,17,14,0,0.08188791591890394,0.1057131290435791
SPATIAL_complete,missing_aware,202,all_physical,12,19,0,-0.40396176408952283,-0.24667668342590332
SPATIAL_complete,missing_aware,202,all_support,11,20,0,0.04171440804389214,-0.10313773155212402
SPATIAL_complete,missing_aware,202,observation_support,11,20,0,0.04171440804389214,-0.10313773155212402
SPATIAL_complete,missing_aware,202,radiation,14,17,0,-0.1502783938992408,-0.04004013538360596
SPATIAL_complete,missing_aware,202,temperature,15,16,0,0.5024572239537393,-0.1265711784362793
SPATIAL_complete,missing_aware,202,water_balance,20,11,0,0.25365065103961576,0.14670372009277344
SPATIAL_complete,missing_aware,303,all_physical,13,18,0,0.6434597892145957,-0.07554197311401367
SPATIAL_complete,missing_aware,303,all_support,22,9,0,0.07996825768870691,0.1679699420928955
SPATIAL_complete,missing_aware,303,observation_support,22,9,0,0.07996825768870691,0.1679699420928955
SPATIAL_complete,missing_aware,303,radiation,15,16,0,0.020432643352016312,-0.04136919975280762
SPATIAL_complete,missing_aware,303,temperature,18,13,0,0.1780443334271831,0.16242051124572754
SPATIAL_complete,missing_aware,303,water_balance,14,17,0,0.013875962657313192,-0.04304337501525879
SPATIAL_complete,prediction_kd,101,all_physical,22,9,0,0.4341606752641739,0.6728493938446043
SPATIAL_complete,prediction_kd,101,all_support,21,10,0,0.15885482231263193,0.288266658782959
SPATIAL_complete,prediction_kd,101,observation_support,21,10,0,0.15885482231263193,0.288266658782959
SPATIAL_complete,prediction_kd,101,radiation,19,12,0,0.17994287364713607,0.0471574068069458
SPATIAL_complete,prediction_kd,101,temperature,24,7,0,0.7871740314422115,0.419094505310059
SPATIAL_complete,prediction_kd,101,water_balance,19,12,0,0.23752834120104388,0.32752561569213867
SPATIAL_complete,prediction_kd,202,all_physical,14,17,0,-0.053629755389305804,-0.09924817085266113
SPATIAL_complete,prediction_kd,202,all_support,24,7,0,0.8580801041510797,0.733588457107544
SPATIAL_complete,prediction_kd,202,observation_support,24,7,0,0.8580801041510797,0.733588457107544
SPATIAL_complete,prediction_kd,202,radiation,21,10,0,0.5065999710944391,0.8072404861450195
SPATIAL_complete,prediction_kd,202,temperature,25,6,0,0.7477355199013986,0.6437599658966064
