contract,route,feature_name,feature_group,n_clusters,mean_signed_delta,median_signed_delta,mean_absolute_delta,ci_lo,ci_hi
GROUP_complete,prediction_kd,weather_et0_sum,water_balance,279,-0.03089799423698723,-0.0015341090038419325,0.25318989142989173,-0.06780513196780535,0.00448846259520735
GROUP_complete,prediction_kd,weather_expected_days,observation_support,279,0.02987448914781027,-0.003107768483459894,0.2370817361250987,-0.021460852317685616,0.08409272233887133
GROUP_complete,prediction_kd,weather_observed_days,observation_support,279,-0.11093542498067409,-0.029485765844583497,0.2552405620193256,-0.15075536090922356,-0.07127429350376493
GROUP_complete,prediction_kd,weather_prec_sum,water_balance,279,-0.011354819926563446,-0.0207500727847219,0.09466115529665646,-0.025579960620753447,0.0025316746904611616
GROUP_complete,prediction_kd,weather_rad_sum,radiation,279,0.1307380617050434,0.16285242326557636,0.42837264881082093,0.07563309779029347,0.18519431628886857
GROUP_complete,prediction_kd,weather_tmax_mean,temperature,279,0.16497685981490465,0.22368868626654154,0.26610848706259016,0.1326050970638271,0.19621661470207388
GROUP_complete,prediction_kd,weather_tmin_mean,temperature,279,0.08395099772205476,0.027538184076547567,0.15239959590071914,0.06062018144291602,0.10806663129860485
GROUP_complete,prediction_kd,weather_vpd_mean,water_balance,279,-0.0285264115328283,-0.037598501890897695,0.1954838250969006,-0.06212946031180855,0.006034625045401097
GROUP_complete,representation_kd,weather_coverage,observation_support,279,0.0,0.0,0.0,0.0,0.0
GROUP_complete,representation_kd,weather_cwb_sum,water_balance,279,0.017173906896717325,0.015763021074235502,0.05032767920077218,0.009373140552808858,0.0247966275624697
GROUP_complete,representation_kd,weather_et0_sum,water_balance,279,-0.05901779953430415,-0.0357775054872036,0.17605479223166315,-0.08454101791665439,-0.03380257128337296
GROUP_complete,representation_kd,weather_expected_days,observation_support,279,0.019042517510860304,0.021915243938565202,0.11569957642258544,0.003589194311633522,0.035121145272730955
GROUP_complete,representation_kd,weather_observed_days,observation_support,279,0.08336318921177617,0.10393133386969569,0.1982550618696063,0.055995480760457954,0.1108654502807619
GROUP_complete,representation_kd,weather_prec_sum,water_balance,279,-0.002607544566968636,-0.017633862793445598,0.06128321331341525,-0.012593807602521535,0.007708687136136672
GROUP_complete,representation_kd,weather_rad_sum,radiation,279,0.014203718234200725,0.0027152542024850845,0.22545458498748025,-0.015376223884289265,0.04353159896046336
GROUP_complete,representation_kd,weather_tmax_mean,temperature,279,-0.06637755431248187,0.00026700645685200086,0.192137713330434,-0.10705548792870509,-0.028723714221101957
GROUP_complete,representation_kd,weather_tmin_mean,temperature,279,0.09661737688413177,0.0674700681120157,0.16853662411178258,0.07395031093152435,0.12047549136446983
GROUP_complete,representation_kd,weather_vpd_mean,water_balance,279,-0.04821244572159103,-0.030278906226158087,0.12667975187181466,-0.06763988097588862,-0.029065523861730485
SPATIAL_complete,combined_kd,weather_coverage,observation_support,31,0.0,0.0,0.0,0.0,0.0
SPATIAL_complete,combined_kd,weather_cwb_sum,water_balance,31,0.055142608911840495,0.0551718646505227,0.1524951327216601,0.03338698061459739,0.08033378606365485
SPATIAL_complete,combined_kd,weather_et0_sum,water_balance,31,0.06789917751060179,0.09232424789418775,0.32561324736959624,0.027193069411754638,0.10529477484230085
SPATIAL_complete,combined_kd,weather_expected_days,observation_support,31,0.010290019865077665,0.018618957605212916,0.1416296580936559,-0.009494013991269477,0.029297610453795645
SPATIAL_complete,combined_kd,weather_observed_days,observation_support,31,-0.02460198528483829,-0.06764477615555126,0.19298892648970728,-0.07636223147267736,0.03054305965942082
SPATIAL_complete,combined_kd,weather_prec_sum,water_balance,31,-0.006137415025663626,-0.002768755269547285,0.06516030800819235,-0.01881723327697403,0.007522829234479902
SPATIAL_complete,combined_kd,weather_rad_sum,radiation,31,-0.2784680703877703,-0.3688147675711662,0.42311724910377374,-0.3835224798679608,-0.1675503883324939
