contract,method,seed,perturbation_group,mean_abs_pred_change,mean_perturbation_l2_distance,standardized_sensitivity,dimension_normalized_sensitivity
GROUP_complete,missing_aware,303,all_physical,0.6650267160066994,1.7474744654062877,0.3805644827271912,0.0950038165723856
GROUP_complete,missing_aware,303,all_support,0.1139627297719319,0.622478813305368,0.1830788893305552,0.0379875765906439
GROUP_complete,missing_aware,303,observation_support,0.1139627297719319,0.622478813305368,0.1830788893305552,0.0379875765906439
GROUP_complete,missing_aware,303,radiation,0.2801041551815566,0.552067559703673,0.5073729659670594,0.2801041551815566
GROUP_complete,missing_aware,303,temperature,0.123016652240548,0.7429407466547211,0.1655807045101457,0.061508326120274
GROUP_complete,missing_aware,303,water_balance,0.3718478474565732,1.401039490182449,0.2654085413451724,0.0929619618641433
GROUP_complete,prediction_kd,101,all_physical,1.2978652639591948,1.5834342477564214,0.8196521363595167,0.1854093234227421
GROUP_complete,prediction_kd,101,all_support,1.3525427097969869,1.6317393784885237,0.8288962855385736,0.4508475699323289
GROUP_complete,prediction_kd,101,observation_support,1.3525427097969869,1.6317393784885237,0.8288962855385736,0.4508475699323289
GROUP_complete,prediction_kd,101,radiation,0.2501401774426724,0.7239055834057846,0.345542544741102,0.2501401774426724
GROUP_complete,prediction_kd,101,temperature,0.7832129388413531,0.6707671208985636,1.1676376411995102,0.3916064694206765
GROUP_complete,prediction_kd,101,water_balance,1.0877056955657107,1.1630238840804317,0.9352393449983116,0.2719264238914277
GROUP_complete,prediction_kd,202,all_physical,0.8396211212096008,2.4301079971407726,0.3455077396548385,0.1199458744585143
GROUP_complete,prediction_kd,202,all_support,0.8728884691777437,1.2621859298543618,0.6915688477669616,0.2909628230592478
GROUP_complete,prediction_kd,202,observation_support,0.8728884691777437,1.2621859298543618,0.6915688477669616,0.2909628230592478
GROUP_complete,prediction_kd,202,radiation,0.3305149907651155,0.7856338525079706,0.4206985095023531,0.3305149907651155
GROUP_complete,prediction_kd,202,temperature,0.3476863135462222,1.528375431380976,0.2274875049724136,0.1738431567731111
GROUP_complete,prediction_kd,202,water_balance,0.5181080380211706,1.5858598808295632,0.3267048017822492,0.1295270095052926
GROUP_complete,prediction_kd,303,all_physical,0.4729229839899206,1.7474744654062877,0.2706322715163082,0.0675604262842743
GROUP_complete,prediction_kd,303,all_support,0.1132958025060674,0.622478813305368,0.1820074837636379,0.0377652675020224
GROUP_complete,prediction_kd,303,observation_support,0.1132958025060674,0.622478813305368,0.1820074837636379,0.0377652675020224
GROUP_complete,prediction_kd,303,radiation,0.1817150641513127,0.552067559703673,0.3291536714247811,0.1817150641513127
GROUP_complete,prediction_kd,303,temperature,0.2153151419854933,0.7429407466547211,0.28981468973766,0.1076575709927466
GROUP_complete,prediction_kd,303,water_balance,0.5976180286817653,1.401039490182449,0.4265533076469632,0.1494045071704413
GROUP_complete,representation_kd,101,all_physical,0.6605639483066316,1.5834342477564214,0.4171716945254732,0.0943662783295188
GROUP_complete,representation_kd,101,all_support,0.4245899687422083,1.6317393784885237,0.2602069756600743,0.1415299895807361
GROUP_complete,representation_kd,101,observation_support,0.4245899687422083,1.6317393784885237,0.2602069756600743,0.1415299895807361
GROUP_complete,representation_kd,101,radiation,0.3404703229031664,0.7239055834057846,0.4703242117582146,0.3404703229031664
GROUP_complete,representation_kd,101,temperature,0.2234277750583405,0.6707671208985636,0.333092914212465,0.1117138875291702
GROUP_complete,representation_kd,101,water_balance,0.2535084790371834,1.1630238840804317,0.2179735794827696,0.0633771197592958
GROUP_complete,representation_kd,202,all_physical,0.5369807471399722,2.4301079971407726,0.2209699107083119,0.0767115353057103
GROUP_complete,representation_kd,202,all_support,0.698690480771272,1.2621859298543618,0.5535559098264844,0.2328968269237573
GROUP_complete,representation_kd,202,observation_support,0.698690480771272,1.2621859298543618,0.5535559098264844,0.2328968269237573
GROUP_complete,representation_kd,202,radiation,0.4284405418064283,0.7856338525079706,0.5453437888886493,0.4284405418064283
GROUP_complete,representation_kd,202,temperature,0.5251702826956044,1.528375431380976,0.3436134027754809,0.2625851413478022
GROUP_complete,representation_kd,202,water_balance,0.4505670091380244,1.5858598808295632,0.2841152705761424,0.1126417522845061
GROUP_complete,representation_kd,303,all_physical,0.2534247034339494,1.7474744654062877,0.1450234086109425,0.0362035290619927
